TreeID,TreePosX(meter),TreePosY(meter),TreePosZ(meter),Tree Height(meter),DBH(meter),Crown Diameter(meter),Crown Diameter(S-N)(meter),Crown Diameter(E-W)(meter),Crown Area(square meter),Crown Volume(cubic meter),CBH(meter),Altitude(meter),Old Tree ID
171,531673.079,489085.907,1.3,7.7,0.111,30.3,30.7,30,547.9,1933.1,3.3,931.3,189
172,531799.145,489051.01,1.3,6.1,0.294,25,30.7,20.3,404.7,1486.9,3.2,893.4,222
173,531652.164,489008.045,1.3,11,0.415,5.6,4.8,6.5,15.7,23.5,2.8,916.8,154
174,531612.884,489026.648,3.613,3.6,0,8.1,7.8,8.5,36.8,66.5,1.5,895,167
175,531606.352,489038.034,1.3,2.4,0.131,8.4,6.9,10.2,43.8,70.8,2.5,891.9,150
176,531674.693,489047.934,1.3,19.1,0.05,30.2,35.3,25.8,638.1,6097.7,13.5,921.5,174
177,531629.958,489024.196,1.3,27.1,0.294,28.1,31.2,25.3,570.1,3042,16.6,898.3,151
178,531627.451,488982.383,7.429,7.4,0,40.3,38.8,41.8,1075,3198.9,2,889.7,169
179,531763.983,489044.622,1.3,14.6,0.259,8.2,8.2,8.3,44.6,145.7,19.9,905.8,213
180,531702.935,489026.577,1.3,8.1,0.358,23.8,18.8,30.2,394.3,1828.1,4.8,906.8,195
181,531744.198,489075.073,1.3,18,0.034,30.4,27.8,33.2,602.8,3249.9,10.1,920.4,208
182,531773.674,489067.36,1.3,22.9,0.247,23,25.6,20.7,407.7,2697.8,11.9,904.1,225
183,531653.843,488995.386,1.3,4.1,0.314,8,7.8,8.2,40.5,76.5,3.1,911.9,159
184,531669.449,489087.241,1.3,11.3,0.15,24.4,22.2,26.9,396.2,2913.9,12.7,923.2,188
185,531614.943,489022.697,1.3,4.8,0.182,10.5,10.5,10.6,77.8,191.4,2.4,893.5,152
186,531605.539,489039.135,1.3,4.3,0.239,1.3,1.8,1,1.4,2.2,1.9,896,184
187,531627.223,489070.82,3.278,4.7,0,12.7,12.1,13.3,102.2,193.9,3.3,904.1,165
188,531669.697,489076.418,1.3,22.4,0.172,31,32.4,29.7,675.6,5115.9,15,931.4,185
189,531788.116,489055.882,1.3,13,0.173,24.1,19.7,29.6,417.2,2710.1,3.6,895.5,226
190,531723.799,488980.158,5.831,16.5,0,30,30,30,888.5,3605.7,2.4,880.5,196
191,531804.72,489061.676,1.3,30.8,0.299,18.3,24.3,13.8,224.5,798.7,9.9,898.6,211
192,531739.021,489019.835,1.3,13.2,0.322,70.5,71.9,69.1,4143.1,18517.6,7.1,880.7,230
193,531613.585,489036.277,2.245,3.4,0,2.2,2.3,2.2,3.8,4.8,2.2,903.3,171
194,531689.415,489013.837,1.3,3.6,0.249,19.4,20.1,18.8,229.5,600.5,2.5,904,193
195,531653.609,489005.871,1.3,17.4,0.358,11.8,13,10.8,95.3,417.6,10.1,914.1,156
196,531670.6,489089.422,1.3,5.7,0.24,1.8,1.8,1.9,1.9,3.3,1.8,932.1,191
197,531665.697,488986.579,1.3,3.3,0.048,53.7,51.1,56.4,2000,12263.8,9,900.3,170
198,531615.834,489098.5,1.3,3.8,0.148,38.1,39.1,37.2,854.2,2563,2,882.1,187
199,531772.587,489069.35,1.3,19.8,0,6.8,6.4,7.3,33.1,130.6,10.9,909.7,235
200,531704.21,489122.596,1.3,13.7,0.163,11.7,9.9,13.8,88,324.9,11.5,936.2,199
201,531749.042,489042.442,1.3,13.3,0.251,21.4,24.7,18.5,286.4,1434.1,4,905.7,214
202,531811.475,488996.058,1.3,10,0.08,21.9,19.5,24.6,276.1,2218.3,3.8,877.4,231
203,531707.114,488990.364,1.3,2.8,0.119,8.4,7.3,9.6,46,109.4,3.4,892,194
204,531729.671,489053.783,1.3,8.8,0.074,55.6,44.8,69,1936.5,18701.9,4.4,907.9,212
205,531641.304,488987.929,1.3,13.3,0.255,2.7,2.3,3.2,4.5,11.3,9.9,910.2,162
206,531729.925,489070.575,30.637,28.2,0,35.8,30,42.7,1032.2,16314.9,17.1,927.3,200
207,531647.479,489064.416,1.3,31.8,0.094,26.3,22.4,30.8,474.2,6834.3,24.2,923.8,173
208,531668.218,489108.205,1.3,6.5,0.352,27.7,25.2,30.5,566.7,3557.7,9.5,915.3,190
209,531748.786,489086.682,1.3,29,0.43,31.5,22.4,44.4,569.1,3838.2,12.9,924.5,245
210,531746.578,489075.765,3.213,2.3,0,1.2,0.9,1.6,0.9,0.6,1.1,923.5,205
211,531770.137,489058.309,1.3,6.4,0.065,24.1,29.9,19.5,429.3,3142.2,17.7,903.2,221
212,531783.863,489116.967,1.3,11.9,0.334,16,16.9,15.1,162.2,764.1,5.3,929.8,237
213,531715.272,489069.525,1.3,21.5,0.065,55.2,62.6,48.6,2169.5,18769.7,11.7,918.1,197
214,531770.229,489037.716,1.3,9.3,0.165,18.9,21.1,16.9,193.8,486,4.1,900.1,228
215,531667.685,489051.194,1.3,6.1,0.115,15.9,16.6,15.2,161.7,754.7,25.7,932.5,180
216,531818.852,489074.14,1.3,17.8,0.11,8.6,8.4,8.8,52.3,212.8,11.1,900.7,209
217,531667.336,489067.535,1.3,28.6,0,7.4,7.6,7.2,38.3,242.2,21.4,936.8,178
218,531708.774,489125.391,1.3,30.7,0.435,21.2,21.1,21.3,359.2,2344.1,17.5,932.8,198
219,531807.238,489086.039,1.3,25.8,0.228,4.7,4.9,4.5,12.4,25.3,18.9,909.7,246
220,531760.344,489066.284,1.3,13.4,0.49,6.6,7.4,5.9,26.8,50.5,7.1,913.8,210
221,531798.887,489034.331,3.626,4.6,0,6.4,6.7,6.2,24.6,54.9,3.6,892.5,224
222,531738.464,489094.098,1.3,21.2,0.081,53.1,46.1,61.2,2110.3,6103.4,17.1,929.9,250
223,531707.617,489122.468,1.3,21.3,0,6.1,6.5,5.8,23.2,97.1,9.4,944.7,201
224,531799.309,489072.586,1.3,23.4,0.431,23.8,23.7,23.9,440.5,2330.3,19.2,903,234
225,531703.053,489119.633,1.3,13.4,0.095,20.2,14.6,28,312.2,969,7.5,945.5,204
226,531735.276,489015.101,1.3,24.4,0.252,8.1,7.4,8.9,39.7,173,16.5,903.5,216
