TreeID,TreePosX(meter),TreePosY(meter),TreePosZ(meter),Tree Height(meter),DBH(meter),Crown Diameter(meter),Crown Diameter(S-N)(meter),Crown Diameter(E-W)(meter),Crown Area(square meter),Crown Volume(cubic meter),CBH(meter),Altitude(meter),Old Tree ID
284,531844.708,489123.367,1.3,6.7,0.149,11,10.1,12,72.6,146.7,2.8,914.2,284
285,531843.993,489035.858,1.3,9.2,0.126,9.6,7.7,11.9,63.9,277.4,4.6,882,262
286,531838.793,489102.053,1.3,6.8,0.322,9.2,10.6,8,45.7,114,1.4,907.3,274
287,531787.258,489098.8,1.3,10.8,0.133,13,14,12,127.4,910,4.3,918.3,256
288,531885.208,489114.324,21.577,6.5,0,47,68.9,32.1,1504.5,3843.6,8.3,883.1,288
289,531830.042,489119.727,1.3,10.2,0.277,12.4,14.3,10.8,88.9,401,7.8,914,285
290,531876.395,489070.154,1.3,7.6,0.166,31.3,29.9,32.7,357.5,2597.7,11.6,881.3,292
291,531630.979,488971.509,4.132,4.1,0,28.3,25.3,31.6,560.6,740.6,1.6,890.4,301
292,531676.194,488979.616,1.3,8.7,0.434,45.5,73.1,28.3,1437.5,3322.3,2.3,884.4,298
293,531657.675,488977.48,1.3,2.6,0.199,21.6,19.2,24.3,262,938.4,2.8,885.1,304
294,531652.7,488972.292,1.3,13.1,0.26,18.9,20,17.8,211,551.7,5.6,889.9,305
295,531845.763,489125.436,1.3,5.1,0.072,15.7,13.6,18.1,132.6,162.1,11.2,914.9,287
296,531849.997,489123.258,1.3,25,0.275,28.8,36.8,22.6,517.9,796.7,13.8,902.6,280
297,531847.964,489122.848,1.3,16.4,0.445,5.6,4.2,7.6,22.8,91.9,8,914.1,269
298,531878.508,489066.722,1.3,6.6,0.197,10.5,11,10.1,53,273.8,5.6,880,293
299,531656.906,488976.867,1.3,6.3,0.073,20.2,19.1,21.3,315.2,449.7,1.4,900,299
300,531879.609,489095.953,1.3,12.3,0.189,12.9,11.8,14,121.3,372.4,1.9,883.8,295
301,531798.31,488979.378,1.3,13.1,0.151,38.1,41.3,35.2,814.6,2939.1,6.8,876,309
302,531646.863,488957.202,7.633,4.8,0,20.4,26.3,15.9,213.9,756.7,1.9,889.8,302
303,531680.964,488970.923,1.3,12.3,0.018,13.7,14.2,13.2,119.4,476.1,4.6,885.5,307
304,531786.6,488961.947,21.872,3.1,0,77.1,81.7,72.8,4343.6,10076,11.3,877.4,310
305,531893.855,489109.719,1.3,12.2,0.541,32.4,36.4,28.8,634.7,4550.9,9.6,882.9,289
306,531873.991,489085.767,1.3,6,0.121,32.5,25.3,41.8,671.8,1229.4,1.3,883.9,291
307,531865.807,489113.603,1.3,20.1,0.856,11,12.5,9.7,85.9,749.5,15,899.3,283
308,531684.99,488969.02,1.3,9.9,0.207,73.5,78,69.3,3990.8,21217.2,4,878.7,308
309,531635.242,488963.507,1.3,6.5,0.121,4.8,6.5,3.5,15.4,39.8,1.9,890.7,306
310,531633.862,488952.109,1.3,5.9,0.222,65.4,67.3,63.5,1505,4076.7,3.3,884.1,303
